,symbol_id,simillar_symbol_id,score
268,001940.KS,002240.KS,0.007278
269,001940.KS,003030.KS,0.00684
270,025000.KS,006650.KS,0.006491
271,025000.KS,007690.KS,0.006418
272,025000.KS,014830.KS,0.006191
273,025000.KS,069260.KS,0.006137
274,025000.KS,025540.KS,0.005995
275,092230.KS,036530.KS,0.005077
276,092230.KS,092440.KS,0.003937
277,092230.KS,090350.KS,0.003721
278,092230.KS,024090.KS,0.0037
279,092230.KS,016880.KS,0.003676
280,000040.KS,000070.KS,0.009856
281,000040.KS,000140.KS,0.009673
282,000040.KS,000020.KS,0.008988
283,000040.KS,000050.KS,0.008217
284,000040.KS,000240.KS,0.008192
285,093050.KS,069960.KS,0.012694
286,093050.KS,004170.KS,0.0104
287,093050.KS,020000.KS,0.009776
288,093050.KS,071050.KS,0.009622
289,093050.KS,023530.KS,0.009394
290,003555.KS,003550.KS,0.021977
291,003555.KS,066575.KS,0.016094
292,003555.KS,000815.KS,0.013275
293,003555.KS,051905.KS,0.012873
294,003555.KS,051915.KS,0.0125
295,034220.KS,066570.KS,0.078999
296,034220.KS,005490.KS,0.065525
297,034220.KS,017670.KS,0.060879
298,034220.KS,015760.KS,0.056711
299,034220.KS,000660.KS,0.056366
300,003550.KS,066570.KS,0.046135
301,003550.KS,005490.KS,0.042159
302,003550.KS,034220.KS,0.04209
303,003550.KS,012330.KS,0.041251
304,003550.KS,017670.KS,0.041181
305,051905.KS,051900.KS,0.030805
306,051905.KS,090430.KS,0.01854
307,051905.KS,090435.KS,0.018522
308,051905.KS,051915.KS,0.018001
309,051905.KS,005385.KS,0.015855
310,051900.KS,090430.KS,0.079834
311,051900.KS,012330.KS,0.051377
312,051900.KS,033780.KS,0.05066
313,051900.KS,035420.KS,0.047257
314,051900.KS,036570.KS,0.046932
315,373220.KS,006400.KS,0.040306
316,373220.KS,096770.KS,0.034708
317,373220.KS,035420.KS,0.03269
318,373220.KS,051910.KS,0.030798
319,373220.KS,035720.KS,0.030708
320,032640.KS,030200.KS,0.041986
321,032640.KS,017670.KS,0.039904
322,032640.KS,105560.KS,0.028279
323,032640.KS,086790.KS,0.027663
324,032640.KS,012330.KS,0.026685
325,011070.KS,009150.KS,0.054559
326,011070.KS,034220.KS,0.041554
327,011070.KS,066570.KS,0.032087
328,011070.KS,000660.KS,0.029257
329,011070.KS,012330.KS,0.028671
330,066575.KS,066570.KS,0.034372
331,066575.KS,005935.KS,0.020339
332,066575.KS,003550.KS,0.017257
333,066575.KS,051915.KS,0.016612
334,066575.KS,051900.KS,0.01633
